,,분위,구간,백분위
1인 가구,0,1분위,"0원 ~ 239,201원",0% ~ 10
1인 가구,1,2분위,"239,202원 ~ 478,403원",10% ~ 20
1인 가구,2,3분위,"478,404원 ~ 717,604원",20% ~ 30
1인 가구,3,4분위,"717,605원 ~ 956,805원",30% ~ 40
1인 가구,4,5분위,"956,806원 ~ 1,196,006원",40% ~ 50
1인 가구,5,6분위,"1,196,007원 ~ 1,435,208원",50% ~ 60
1인 가구,6,7분위,"1,435,209원 ~ 1,674,409원",60% ~ 70
1인 가구,7,8분위,"1,674,410원 ~ 1,913,610원",70% ~ 80
1인 가구,8,9분위,"1,913,611원 ~ 2,152,812원",80% ~ 90
1인 가구,9,10분위,"2,152,813원 이상",90% ~ 100%+
2인 가구,0,1분위,"0원 ~ 393,266원",0% ~ 10
2인 가구,1,2분위,"393,267원 ~ 786,532원",10% ~ 20
2인 가구,2,3분위,"786,533원 ~ 1,179,797원",20% ~ 30
2인 가구,3,4분위,"1,179,798원 ~ 1,573,063원",30% ~ 40
2인 가구,4,5분위,"1,573,064원 ~ 1,966,329원",40% ~ 50
2인 가구,5,6분위,"1,966,330원 ~ 2,359,595원",50% ~ 60
2인 가구,6,7분위,"2,359,596원 ~ 2,752,861원",60% ~ 70
2인 가구,7,8분위,"2,752,862원 ~ 3,146,126원",70% ~ 80
2인 가구,8,9분위,"3,146,127원 ~ 3,539,392원",80% ~ 90
2인 가구,9,10분위,"3,539,393원 이상",90% ~ 100%+
3인 가구,0,1분위,"0원 ~ 502,535원",0% ~ 10
3인 가구,1,2분위,"502,536원 ~ 1,005,071원",10% ~ 20
3인 가구,2,3분위,"1,005,072원 ~ 1,507,606원",20% ~ 30
3인 가구,3,4분위,"1,507,607원 ~ 2,010,141원",30% ~ 40
3인 가구,4,5분위,"2,010,142원 ~ 2,512,676원",40% ~ 50
3인 가구,5,6분위,"2,512,677원 ~ 3,015,212원",50% ~ 60
3인 가구,6,7분위,"3,015,213원 ~ 3,517,747원",60% ~ 70
3인 가구,7,8분위,"3,517,748원 ~ 4,020,282원",70% ~ 80
3인 가구,8,9분위,"4,020,283원 ~ 4,522,818원",80% ~ 90
3인 가구,9,10분위,"4,522,819원 이상",90% ~ 100%+
4인 가구,0,1분위,"0원 ~ 609,777원",0% ~ 10
4인 가구,1,2분위,"609,778원 ~ 1,219,555원",10% ~ 20
4인 가구,2,3분위,"1,219,556원 ~ 1,829,332원",20% ~ 30
4인 가구,3,4분위,"1,829,333원 ~ 2,439,109원",30% ~ 40
4인 가구,4,5분위,"2,439,110원 ~ 3,048,886원",40% ~ 50
4인 가구,5,6분위,"3,048,887원 ~ 3,658,664원",50% ~ 60
4인 가구,6,7분위,"3,658,665원 ~ 4,268,441원",60% ~ 70
4인 가구,7,8분위,"4,268,442원 ~ 4,878,218원",70% ~ 80
4인 가구,8,9분위,"4,878,219원 ~ 5,487,996원",80% ~ 90
4인 가구,9,10분위,"5,487,997원 이상",90% ~ 100%+
5인 가구,0,1분위,"0원 ~ 710,819원",0% ~ 10
5인 가구,1,2분위,"710,820원 ~ 1,421,638원",10% ~ 20
5인 가구,2,3분위,"1,421,639원 ~ 2,132,458원",20% ~ 30
5인 가구,3,4분위,"2,132,459원 ~ 2,843,277원",30% ~ 40
5인 가구,4,5분위,"2,843,278원 ~ 3,554,096원",40% ~ 50
5인 가구,5,6분위,"3,554,097원 ~ 4,264,915원",50% ~ 60
5인 가구,6,7분위,"4,264,916원 ~ 4,975,734원",60% ~ 70
5인 가구,7,8분위,"4,975,735원 ~ 5,686,554원",70% ~ 80
5인 가구,8,9분위,"5,686,555원 ~ 6,397,373원",80% ~ 90
5인 가구,9,10분위,"6,397,374원 이상",90% ~ 100%+
6인 가구,0,1분위,"0원 ~ 806,480원",0% ~ 10
6인 가구,1,2분위,"806,481원 ~ 1,612,961원",10% ~ 20
6인 가구,2,3분위,"1,612,962원 ~ 2,419,442원",20% ~ 30
6인 가구,3,4분위,"2,419,443원 ~ 3,225,922원",30% ~ 40
6인 가구,4,5분위,"3,225,923원 ~ 4,032,402원",40% ~ 50
6인 가구,5,6분위,"4,032,403원 ~ 4,838,883원",50% ~ 60
6인 가구,6,7분위,"4,838,884원 ~ 5,645,364원",60% ~ 70
6인 가구,7,8분위,"5,645,365원 ~ 6,451,844원",70% ~ 80
6인 가구,8,9분위,"6,451,845원 ~ 7,258,324원",80% ~ 90
6인 가구,9,10분위,"7,258,325원 이상",90% ~ 100%+
